Kode Prov,Sektor,Lapangan Usaha,Kode Lapangan Usaha,Nama Lapangan Usaha,PDRB ADHB
11,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",43404000000000
11,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,6798000000000
11,Industri,3,C,Industri Pengolahan/Manufacturing,7533000000000
11,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,193000000000
11,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",63000000000
11,Industri,6,F,Konstruksi/Construction,13768000000000
11,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,23841000000000
11,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,10190000000000
11,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,2224000000000
11,Industri,10,J,Informasi dan Komunikasi/Information and Communication,4354000000000
11,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,2934000000000
11,Jasa,12,L,Real Estat/Real Estate Activities,5973000000000
11,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,904000000000
11,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",14628000000000
11,Jasa,15,P,Jasa Pendidikan/Education,3787000000000
11,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,3855000000000
11,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,2034000000000
12,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",146366000000000
12,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,8870000000000
12,Industri,3,C,Industri Pengolahan/Manufacturing,138824000000000
12,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,788000000000
12,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",767000000000
12,Industri,6,F,Konstruksi/Construction,92590000000000
12,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,122585000000000
12,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,34277000000000
12,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,16330000000000
12,Industri,10,J,Informasi dan Komunikasi/Information and Communication,13583000000000
12,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,21729000000000
12,Jasa,12,L,Real Estat/Real Estate Activities,33387000000000
12,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,7090000000000
12,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",24024000000000
12,Jasa,15,P,Jasa Pendidikan/Education,12443000000000
12,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,6454000000000
12,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,3963000000000
13,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",50542000000000
13,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,9133000000000
13,Industri,3,C,Industri Pengolahan/Manufacturing,20835000000000
