"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",114042,120787,132498,146817,153693
"B","Pertambangan dan Penggalian/Mining and Quarrying",34830,33623,26025,25347,25482
"C","Industri Pengolahan/Manufacturing",544184,604760,656824,703516,755387
"D","Pengadaan Listrik dan Gas/Electricity and Gas",8783,11009,11438,11920,10855
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",956,1020,1160,1343,1588
"F","Konstruksi/Construction",99104,112073,125923,134113,147555
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",199720,211470,231628,249218,269778
"H","Transportasi dan Pergudangan/Transportation and Storage",56701,66393,84071,94845,103491
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",30027,33722,38099,43014,48395
"J","Informasi dan Komunikasi/Information and Communication",30268,34153,39712,45461,51845
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",32408,35513,39811,46101,50121
"L","Real Estat/Real Estate Activities",13740,14439,15578,16814,18659
"M,N","Jasa Perusahaan/Business Activities",4873,5439,6077,6646,7339
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",30242,32192,36674,38654,40220
"P","Jasa Pendidikan/Education",29596,35315,40563,44677,51394
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",7194,8701,10615,12065,13473
"R,S,T,U","Jasa lainnya/Other Services Activities",22320,25219,28279,32208,36816
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",1258989,1385825,1524975,1652758,1786092
