"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",27013,28529,30127,32615,36018
"B","Pertambangan dan Penggalian/Mining and Quarrying",5967,6334,7181,9046,9583
"C","Industri Pengolahan/Manufacturing",19380,21815,23146,26008,28769
"D","Pengadaan Listrik dan Gas/Electricity and Gas",66,85,112,153,181
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",152,166,180,184,205
"F","Konstruksi/Construction",13588,16165,19212,20068,22713
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",17231,19206,21719,23359,25085
"H","Transportasi dan Pergudangan/Transportation and Storage",5001,5690,6458,7302,8106
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",2711,3056,3495,3822,4103
"J","Informasi dan Komunikasi/Information and Communication",3920,4363,4925,5539,6615
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",4278,4799,5217,5869,6547
"L","Real Estat/Real Estate Activities",3654,4026,4418,4775,5108
"M,N","Jasa Perusahaan/Business Activities",537,597,690,745,783
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",6882,8322,9776,11192,12312
"P","Jasa Pendidikan/Education",5267,5855,6302,6776,7123
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",1771,1975,2209,2337,2480
"R,S,T,U","Jasa lainnya/Other Services Activities",1221,1362,1486,1591,1738
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",118641,132345,146654,161382,177469
