"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",12390,13767,14699,15348,16120
"a. Tanaman Pangan/Food Crops",4971,5465,6236,6947,7186
"b. Tanaman Hortikultura/Horticultural Crops",174,196,222,240,251
"c. Tanaman Perkebunan/Plantation Crops",5526,6155,6036,5775,6100
"d. Peternakan/Livestock",1441,1597,1806,1956,2126
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",277,354,400,429,457
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",661,706,751,763,740
"3 Perikanan/Fishery",3810,4279,5110,5717,6432
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",979,985,917,873,887
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",30811,31707,28456,27763,30082
"3 Pertambangan Bijih Logam/Iron Ore Mining",787,828,881,883,916
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",808,914,1051,1112,1232
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",9440,10495,12107,13913,15570
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",113,128,147,162,182
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",NA,NA,NA,NA,NA
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",1246,1388,1491,1616,1726
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",112,125,139,146,153
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",350,385,422,445,470
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",2024,2210,2290,2310,2569
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",1339,1451,1590,1698,1801
"11 Industri Logam Dasar/Manufacture of Basic Metals",NA,3,1,NA,NA
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",70,78,85,91,98
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",5,6,6,6,6
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",140,152,163,173,193
"15 Industri Furnitur/Manufacture of Furniture",64,70,78,84,90
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",67,73,81,89,100
"1 Ketenagalistrikan/Electricity",62,83,131,168,198
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",6,6,7,8,9
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",1532,1742,1963,2115,2250
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",7777,8999,10437,11648,13196
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",2586,2944,3221,3543,3910
"3 Angkutan Laut/Sea Transport",1872,2208,2567,2799,3094
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",425,467,550,603,644
"5 Angkutan Udara/Air Transport",1055,1211,1425,1584,1746
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",563,660,785,858,946
"1 Penyediaan Akomodasi/Accommodation",334,383,406,440,483
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",1713,1987,2242,2429,2660
"1 Jasa Perantara Keuangan/Financial Intermediary Services",2674,2984,3216,3563,3942
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",621,720,839,906,987
"3 Jasa Keuangan Lainnya/Other Financial Services",483,566,661,732,807
"4 Jasa Penunjang Keuangan/Financial Supporting Service",2,2,3,3,3
